reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0441,Augathella Hospital,False,False,-25.796104,146.590919,LHN326,South West (Qld),PHN305,Western Queensland
H0442,Charleville Hospital,False,False,-26.410455,146.239228,LHN326,South West (Qld),PHN305,Western Queensland
H0443,Cunnamulla Hospital,False,False,-28.071658,145.690405,LHN326,South West (Qld),PHN305,Western Queensland
H0444,Dirranbandi Hospital,False,False,-28.579349,148.229159,LHN326,South West (Qld),PHN305,Western Queensland
H0445,Injune Hospital,False,False,-25.847096,148.562471,LHN326,South West (Qld),PHN305,Western Queensland
H0446,Mitchell Hospital,False,False,-26.489913,147.972493,LHN326,South West (Qld),PHN305,Western Queensland
H0447,Mungindi Hospital,False,False,-28.972817,148.989061,LHN326,South West (Qld),PHN305,Western Queensland
H0448,Quilpie Hospital,False,False,-26.616519,144.274617,LHN326,South West (Qld),PHN305,Western Queensland
H0449,Roma Hospital,False,False,-26.568828,148.775846,LHN326,South West (Qld),PHN305,Western Queensland
H0450,St George Hospital Qld,False,False,-28.0272,148.5926833,LHN326,South West (Qld),PHN305,Western Queensland
H0451,Surat Hospital,False,False,-27.156595,149.063787,LHN326,South West (Qld),PHN305,Western Queensland
H0452,Alpha Hospital,False,False,-23.649039,146.632962,LHN317,Central West (Qld),PHN305,Western Queensland
H0453,Baralaba Hospital,False,False,-24.184268,149.809586,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0454,Biloela Hospital,False,False,-24.395813,150.517491,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0455,Blackwater Hospital,False,False,-23.571873,148.878219,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0456,Emerald Hospital,False,False,-23.514826,148.154989,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0457,Gladstone Hospital,False,False,-23.850654,151.248532,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0458,Mount Morgan Hospital,False,False,-23.645094,150.392639,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0459,Moura Hospital,False,False,-24.575948,149.975999,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0460,Rockhampton Hospital,False,False,-23.379525,150.494542,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0461,Springsure Hospital,False,False,-24.120122,148.084762,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0462,Theodore Hospital,False,False,-24.943109,150.075277,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0463,Capricorn Coast Hospital,False,False,-23.143888,150.734519,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0464,Woorabinda Hospital,False,False,-24.13149167,149.4559833,LHN316,Central Queensland,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0466,Barcaldine Hospital,False,False,-23.553316,145.293674,LHN317,Central West (Qld),PHN305,Western Queensland
H0467,Blackall Hospital,False,False,-24.422705,145.449349,LHN317,Central West (Qld),PHN305,Western Queensland
H0470,Longreach Hospital,False,False,-23.439033,144.260873,LHN317,Central West (Qld),PHN305,Western Queensland
H0473,Winton Hospital,False,False,-22.381189,143.040672,LHN317,Central West (Qld),PHN305,Western Queensland
H0476,Clermont Hospital,False,False,-22.826219,147.632174,LHN314,Mackay,PHN307,Northern Queensland
H0477,Mackay Base Hospital,False,False,-21.145792,149.155325,LHN314,Mackay,PHN307,Northern Queensland
H0478,Moranbah Hospital,False,False,-22.002125,148.055287,LHN314,Mackay,PHN307,Northern Queensland
H0479,Proserpine Hospital,False,False,-20.400017,148.584976,LHN314,Mackay,PHN307,Northern Queensland
H0480,Sarina Hospital,False,False,-21.421151,149.210268,LHN314,Mackay,PHN307,Northern Queensland
H0481,Dysart Hospital,False,False,-22.582729,148.353044,LHN314,Mackay,PHN307,Northern Queensland
H0482,Ayr Hospital,False,False,-19.564066,147.408821,LHN313,Townsville,PHN307,Northern Queensland
H0483,Bowen Hospital,False,False,-20.007104,148.240327,LHN314,Mackay,PHN307,Northern Queensland
H0484,Charters Towers Hospital,False,False,-20.076167,146.264097,LHN313,Townsville,PHN307,Northern Queensland
