reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0670,York Hospital,False,-31.894392,116.757416,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0671,Beverley Hospital,False,-32.102825,116.922962,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0672,Boddington Hospital,False,-32.803715,116.475774,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0673,Bruce Rock Memorial Hospital,False,-31.873038,118.146414,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0674,Corrigin Hospital,False,-32.324419,117.878816,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0676,Dalwallinu Hospital,False,-30.277229,116.656544,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0677,Dumbleyung Memorial Hospital,False,-33.310409,117.740499,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0678,Kellerberrin Memorial Hospital,False,-31.628902,117.716531,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0679,Goomalling Hospital,False,-31.303928,116.831102,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0680,Kondinin Hospital,False,-32.488949,118.265439,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0681,Kununoppin Health Service,False,-31.109682,117.922889,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0682,Moora Hospital,False,-30.639557,116.001119,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0683,Narembeen Memorial Hospital,False,-32.061618,118.391289,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0684,Pingelly Health Centre,False,-32.533042,117.089789,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0685,Southern Cross Hospital,False,-31.230709,119.337829,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0686,Wongan Hills Hospital,False,-30.894159,116.724843,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0687,Wyalkatchem-Koorda and Districts Hospital,False,-31.176246,117.386212,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0688,Quairading Hospital,False,-32.014481,117.402627,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0689,Esperance Hospital,False,-33.856188,121.892205,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0690,Kalgoorlie Health Campus,False,-30.740839,121.470122,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0691,Laverton Hospital,False,-28.626817,122.399861,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
