reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0053,Mount Druitt Hospital,False,-33.765929,150.829646,Western Sydney,Western Sydney,,health.nsw.gov.au,unknown,lhn:western sydney,True
H0054,Westmead Hospital,False,-33.804362,150.987811,Western Sydney,Western Sydney,,health.nsw.gov.au,unknown,lhn:western sydney,True
H0055,Blue Mountains Hospital,False,-33.705329,150.32111,Nepean Blue Mountains,Nepean Blue Mountains,,health.nsw.gov.au,unknown,lhn:nepean blue mountains,True
H0056,Nepean Hospital,False,-33.759865,150.712627,Nepean Blue Mountains,Nepean Blue Mountains,,health.nsw.gov.au,unknown,lhn:nepean blue mountains,True
H0057,Springwood Hospital,False,-33.690486,150.571129,Nepean Blue Mountains,Nepean Blue Mountains,,health.nsw.gov.au,unknown,lhn:nepean blue mountains,True
H0058,Hawkesbury Hospital,False,-33.610712,150.820804,Nepean Blue Mountains,Nepean Blue Mountains,,health.nsw.gov.au,unknown,lhn:nepean blue mountains,True
H0059,"Tresillian Family Care Centre, Kingswood",False,-33.758161,150.714392,Unknown,Nepean Blue Mountains,,,unknown,,False
H0060,Wentworth Psychiatric Services,False,-33.760249,150.712613,Nepean Blue Mountains,Nepean Blue Mountains,,health.nsw.gov.au,unknown,lhn:nepean blue mountains,True
H0061,Lithgow Hospital,False,-33.498751,150.127701,Nepean Blue Mountains,Nepean Blue Mountains,,health.nsw.gov.au,unknown,lhn:nepean blue mountains,True
H0062,Portland Tabulam Health Centre,False,-33.358415,149.978565,Nepean Blue Mountains,Nepean Blue Mountains,,health.nsw.gov.au,unknown,lhn:nepean blue mountains,True
H0063,Greenwich Hospital,False,-33.827329,151.183376,Northern Sydney,Northern Sydney,,health.nsw.gov.au,unknown,lhn:northern sydney,True
H0064,Neringah Hospital,False,-33.717856,151.114556,Northern Sydney,Northern Sydney,,health.nsw.gov.au,unknown,lhn:northern sydney,True
H0065,Hornsby Ku-ring-gai Hospital,False,-33.701448,151.112941,Northern Sydney,Northern Sydney,,health.nsw.gov.au,unknown,lhn:northern sydney,True
H0067,Mona Vale Hospital,False,-33.685353,151.306618,Northern Sydney,Northern Sydney,,health.nsw.gov.au,unknown,lhn:northern sydney,True
H0068,Royal North Shore Hospital,False,-33.821312,151.189735,Northern Sydney,Northern Sydney,,health.nsw.gov.au,unknown,lhn:northern sydney,True
H0069,Royal Rehabilitation Hospital,False,-33.821772,151.107845,Northern Sydney,Northern Sydney,,health.nsw.gov.au,unknown,lhn:northern sydney,True
H0070,Ryde Hospital,False,-33.795482,151.089756,Northern Sydney,Northern Sydney,,health.nsw.gov.au,unknown,lhn:northern sydney,True
H0071,Gosford Hospital,False,-33.419451,151.340328,Central Coast,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:central coast,True
H0072,Woy Woy Hospital,False,-33.496716,151.320952,Central Coast,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:central coast,True
H0073,Long Jetty Health Care Centre,False,-33.369012,151.468538,Central Coast,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:central coast,True
H0074,Wyong Hospital,False,-33.261113,151.480761,Central Coast,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:central coast,True
H0075,Armidale Hospital,False,-30.512726,151.655629,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0076,Barraba Multi Purpose Service,False,-30.382482,150.605778,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0077,Bingara Multi Purpose Service,False,-29.864055,150.579235,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0078,Boggabri Multi Purpose Service,False,-30.711502,150.040014,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
