reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0595,Millicent and District Hospital and Health Service,False,False,-37.598354,140.358924,LHN410,Limestone Coast,PHN402,Country SA
H0596,Mount Gambier and Districts Health Service,False,False,-37.805003,140.786662,LHN410,Limestone Coast,PHN402,Country SA
H0597,Naracoorte Health Service,False,False,-36.966849,140.743693,LHN410,Limestone Coast,PHN402,Country SA
H0598,Penola War Memorial Hospital,False,False,-37.382873,140.836465,LHN410,Limestone Coast,PHN402,Country SA
H0600,Flinders Medical Centre,False,False,-35.022229,138.569439,LHN403,Southern Adelaide,PHN401,Adelaide
H0602,Noarlunga Hospital,False,False,-35.139879,138.500218,LHN403,Southern Adelaide,PHN401,Adelaide
H0603,Gawler Health Service,False,False,-34.593743,138.755044,LHN406,Barossa Hills Fleurieu,PHN402,Country SA
H0604,Angaston District Hospital,False,False,-34.503549,139.054715,LHN406,Barossa Hills Fleurieu,PHN402,Country SA
H0605,Balaklava Soldiers' Memorial District Hospital,False,False,-34.139594,138.419596,LHN411,Yorke and Northern,PHN402,Country SA
H0606,Burra Hospital,False,False,-33.685486,138.934577,LHN411,Yorke and Northern,PHN402,Country SA
H0607,Clare Hospital,False,False,-33.829588,138.614416,LHN411,Yorke and Northern,PHN402,Country SA
H0608,Eudunda Hospital,False,False,-34.175482,139.090586,LHN406,Barossa Hills Fleurieu,PHN402,Country SA
H0609,Kapunda Hospital,False,False,-34.330289,138.921679,LHN406,Barossa Hills Fleurieu,PHN402,Country SA
H0610,Central Yorke Peninsula Hospital (Maitland),False,False,-34.370494,137.673947,LHN411,Yorke and Northern,PHN402,Country SA
H0611,Riverton District Soldiers' Memorial Hospital,False,False,-34.160353,138.742657,LHN411,Yorke and Northern,PHN402,Country SA
H0612,Snowtown Hospital and Health Service,False,False,-33.786936,138.212768,LHN411,Yorke and Northern,PHN402,Country SA
H0613,Southern Yorke Peninsula Health Service (Yorketown),False,False,-35.020989,137.604939,LHN411,Yorke and Northern,PHN402,Country SA
H0614,Tanunda War Memorial Hospital,False,False,-34.528082,138.960859,LHN406,Barossa Hills Fleurieu,PHN402,Country SA
H0615,Northern Yorke Peninsula Health Service (Wallaroo),False,False,-33.927738,137.636783,LHN411,Yorke and Northern,PHN402,Country SA
H0618,Glenside Health Services,False,False,-34.943429,138.627714,LHN402,Central Adelaide,PHN401,Adelaide
H1051,James Nash House,False,False,-34.849781,138.637283,LHN401,Northern Adelaide,PHN401,Adelaide
H1053,Glenside Rural & Remote,False,False,-34.943985126600744,138.628775249745,LHN406,Barossa Hills Fleurieu,PHN401,Adelaide
H5002,Adelaide Day Surgery Pty Ltd,True,False,-34.922409,138.588817,,,,
H5003,Adelaide Eye & Laser Centre,True,False,-34.94042,138.6215,,,,
H5010,Ashford Hospital,True,False,-34.948142,138.576725,,,,
H5035,Calvary Central Districts Hospital,True,False,-34.75542,138.656221,,,,
H5042,Calvary North Adelaide Hospital,True,False,-34.910003,138.589095,,,,
H5079,Flinders Private Hospital,True,False,-35.020629,138.568089,,,,
H5087,Griffith Rehabilitation Hospital,True,False,-35.010285,138.523859,,,,
H5186,SPORTSMED SA Hospital & Day Surgery,True,False,-34.913521,138.624987,,,,
H5187,St Andrew's Hospital,True,False,-34.934224,138.614963,,,,
H5212,Stirling Hospital,True,False,-35.007274,138.714859,,,,
H5232,The Memorial Hospital,True,False,-34.912733,138.599385,,,,
H5254,Western Hospital,True,False,-34.909971,138.49966,,,,
H5260,Adelaide Surgicentre,True,False,-34.917691,138.621022,,,,
H5275,Burnside War Memorial Hospital,True,False,-34.927126,138.638878,,,,
H5277,Glenelg Community Hospital Inc,True,False,-34.990189,138.512321,,,,
H5364,Calvary Adelaide Hospital,True,False,-34.9276,138.6113,,,,
H5373,Brighton Dialysis Clinic,True,False,-35.008746,138.52224,,,,
H5403,Icon Cancer Centre Windsor Gardens,True,False,-34.86247,138.64977,,,,
H5419,North Eastern Community Hospital,True,False,-34.882549,138.661331,,,,
H5422,Northern Endoscopy Centre,True,False,-34.78167,138.651093,,,,
H5426,Payneham Dialysis Clinic,True,False,-34.896931,138.639603,,,,
H5437,Southern Endoscopy Centre,True,False,-34.999512,138.521179,,,,
H5453,Windsor Gardens Day Surgery,True,False,-34.862469,138.649765,,,,
H5470,Icon Cancer Centre Adelaide,True,False,-34.948662,138.570786,,,,
H5511,Ramsay Clinic Adelaide,True,False,-34.9065815076291,138.61316316975868,,,,
H5521,Glenelg Day Surgery,True,False,-34.978,138.517,,,,
