reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0270,Daylesford District Hospital,False,-37.337365,144.145774,Central Highlands Rural Health,Western Victoria,Central Highlands Rural Health,chrh.org.au,rural_public,exact_lhn,True
H0271,Creswick District Hospital,False,-37.421192,143.891533,Central Highlands Rural Health,Western Victoria,Central Highlands Rural Health,chrh.org.au,rural_public,exact_lhn,True
H0272,The Bendigo Hospital,False,-36.748727,144.283372,Bendigo Health Care Group,Murray,Bendigo Health Care Group,bendigohealth.org.au,rural_public,exact_lhn,True
H0273,Bendigo Health Care Group [Anne Caudle],False,-36.750919,144.280399,Bendigo Health Care Group,Murray,Bendigo Health Care Group,bendigohealth.org.au,rural_public,exact_lhn,True
H0274,Goulburn Valley Health [Waranga],False,-36.587827,145.008593,Goulburn Valley Health,Murray,Goulburn Valley Health,gvhealth.org.au,rural_public,exact_lhn,True
H0275,Kyabram & District Health Service,False,-36.315539,145.042705,Kyabram and District Health Service,Murray,Kyabram and District Health Service,kyhealth.org.au,rural_public,exact_lhn,True
H0276,Kyneton District Health Service,False,-37.254431,144.469742,Central Highlands Rural Health,Murray,Central Highlands Rural Health,chrh.org.au,rural_public,exact_lhn,True
H0277,Heathcote Health,False,-36.925786,144.709499,Heathcote Health,Murray,Heathcote Health,heathcotehealth.org,rural_public,exact_lhn,True
H0278,Maryborough District Health Service [Maryborough],False,-37.044781,143.737692,Maryborough District Health Service,Western Victoria,,mdhs.vic.gov.au,unknown,public_override:maryborough district,True
H0279,Maryborough District Health Service [Dunolly],False,-36.855269,143.735139,Maryborough District Health Service,Western Victoria,,mdhs.vic.gov.au,unknown,public_override:maryborough district,True
H0280,Swan Hill District Health [Swan Hill],False,-35.340588,143.556514,Swan Hill District Health,Murray,Swan Hill District Health,shdh.org.au,rural_public,exact_lhn,True
H0281,Swan Hill District Health [Nyah],False,-35.186052,143.355428,Swan Hill District Health,Murray,Swan Hill District Health,shdh.org.au,rural_public,exact_lhn,True
H0282,East Wimmera Health Service [Wycheproof],False,-36.078447,143.233779,East Wimmera Health Service,Murray,East Wimmera Health Service,ewhs.org.au,rural_public,exact_lhn,True
H0283,Cohuna District Hospital,False,-35.800063,144.214911,Cohuna District Hospital,Murray,,cohunahealth.com.au,unknown,public_override:cohuna district,False
H0284,Echuca Regional Health,False,-36.138186,144.748369,Echuca Regional Health,Murray,Echuca Regional Health,erh.org.au,rural_public,exact_lhn,True
H0285,Kerang District Health,False,-35.724287,143.916563,Kerang District Health,Murray,Kerang District Health,kdh.org.au,rural_public,exact_lhn,True
H0286,Mildura Base Hospital,False,-34.185634,142.143348,Mildura Base Hospital,Murray,Mildura Base Public Hospital,mbph.org.au,rural_public,fuzzy_lhn_85,True
H0287,Mallee Track Health & Community Service [Ouyen],False,-35.074349,142.312345,Mallee Track Health and Community Service,Murray,Mallee Track Health and Community Service,mthcs.com.au,rural_public,exact_lhn,True
H0288,Maldon Hospital,False,-36.992672,144.063677,Dhelkaya Health,Murray,Dhelkaya Health,dhelkayahealth.org.au,rural_public,exact_lhn,True
H0289,Manangatang & District Hospital,False,-35.050955,142.880512,Robinvale District Health Services,Murray,Robinvale District Health Services,rdhs.com.au,rural_public,exact_lhn,True
H0290,Boort District Health,False,-36.111703,143.727285,Boort District Health,Murray,Omeo District Health,odh.net.au,rural_public,fuzzy_lhn_87,False
H0291,Robinvale District Health Services,False,-34.584146,142.781367,Robinvale District Health Services,Murray,Robinvale District Health Services,rdhs.com.au,rural_public,exact_lhn,True
H0292,Rochester & Elmore District Health Service,False,-36.366579,144.697751,Rochester and Elmore District Health Service,Murray,Rochester and Elmore District Health Service,redhs.com.au,rural_public,exact_lhn,True
H0293,East Wimmera Health Service [Donald],False,-36.366895,142.976583,East Wimmera Health Service,Murray,East Wimmera Health Service,ewhs.org.au,rural_public,exact_lhn,True
H0294,Inglewood & District Health Service,False,-36.572147,143.873755,Inglewood and District Health Service,Murray,,idhs.vic.gov.au,unknown,public_override:inglewood,True
H0295,East Wimmera Health Service [Birchip],False,-35.980167,142.915891,East Wimmera Health Service,Murray,East Wimmera Health Service,ewhs.org.au,rural_public,exact_lhn,True
H0296,East Wimmera Health Service [Charlton],False,-36.271037,143.345889,East Wimmera Health Service,Murray,East Wimmera Health Service,ewhs.org.au,rural_public,exact_lhn,True
H0297,Castlemaine Health,False,-37.052539,144.212315,Dhelkaya Health,Murray,Dhelkaya Health,dhelkayahealth.org.au,rural_public,exact_lhn,True
H0298,Goulburn Valley Health [Shepparton],False,-36.363625,145.404911,Goulburn Valley Health,Murray,Goulburn Valley Health,gvhealth.org.au,rural_public,exact_lhn,True
H0299,Goulburn Valley Health [Tatura],False,-36.439082,145.225535,Goulburn Valley Health,Murray,Goulburn Valley Health,gvhealth.org.au,rural_public,exact_lhn,True
H0300,Northeast Health Wangaratta,False,-36.354035,146.313889,Northeast Health Wangaratta,Murray,Northeast Health Wangaratta,northeasthealth.org.au,rural_public,exact_lhn,True
H0301,Tallangatta Health Service,False,-36.213705,147.183709,Tallangatta Health Service,Murray,Tallangatta Health Service,tallangattahealthservice.com.au,rural_public,exact_lhn,True
H0302,Albury Wodonga Health [Wodonga Campus],False,-36.131791,146.879417,Albury Wodonga Health,Murray,Albury Wodonga Health,awh.org.au,rural_public,exact_lhn,True
H0303,Yarrawonga Health,False,-36.011547,146.006584,Yarrawonga District Health Service,Murray,Yarrawonga Health,yh.org.au,rural_public,exact_hospital_name,True
H0304,Alpine Health [Myrtleford],False,-36.554525,146.728795,Alpine Health (Vic),Murray,Alpine Health,alpinehealth.org.au,rural_public,exact_lhn,True
H0305,Alpine Health [Bright],False,-36.732701,146.965924,Alpine Health (Vic),Murray,Alpine Health,alpinehealth.org.au,rural_public,exact_lhn,True
H0306,Alpine Health [Mount Beauty],False,-36.743354,147.169359,Alpine Health (Vic),Murray,Alpine Health,alpinehealth.org.au,rural_public,exact_lhn,True
H0307,Corryong Health,False,-36.198711,147.902798,Upper Murray Health and Community Services (Corryong),Murray,Corryong Health,corryonghealth.org.au,rural_public,exact_hospital_name,True
H0308,Seymour District Memorial Hospital,False,-37.018384,145.138771,Seymour District Memorial Hospital,Murray,,seymourhealth.org.au,unknown,public_override:seymour district,True
H0309,Mansfield District Hospital,False,-37.057574,146.086149,Mansfield District Hospital,Murray,Mansfield District Hospital,mdh.org.au,rural_public,exact_lhn,True
H0310,Alexandra District Hospital,False,-37.195065,145.716143,Alexandra District Hospital,Murray,Alexandra District Hospital,adh.org.au,rural_public,exact_lhn,True
H0311,Numurkah & District Health Service,False,-36.100001,145.443695,NCN Health,Murray,NCN Health,ncnhealth.org.au,rural_public,exact_lhn,True
H0312,The Kilmore & District Hospital,False,-37.301794,144.957915,Northern Health (Vic),Murray,Northern Health,nh.org.au,metro_public,exact_lhn,True
H0313,Yea & District Memorial Hospital,False,-37.213634,145.430724,Yea and District Memorial Hospital,Murray,Yea and District Memorial Hospital,yeahospital.org.au,rural_public,exact_lhn,True
H0314,Nathalia District Hospital,False,-36.054754,145.204324,NCN Health,Murray,NCN Health,ncnhealth.org.au,rural_public,exact_lhn,True
H0315,Benalla & District Memorial Hospital,False,-36.555239,145.994675,Benalla and District Memorial Hospital,Murray,Yea and District Memorial Hospital,yeahospital.org.au,rural_public,fuzzy_lhn_91,True
H0316,Beechworth Health Service,False,-36.349359,146.690739,Beechworth Health Service,Murray,Beechworth Health Service,beechworthhealthservice.com.au,rural_public,exact_lhn,True
H0317,Cobram District Health,False,-35.916273,145.651029,NCN Health,Murray,NCN Health,ncnhealth.org.au,rural_public,exact_lhn,True
H0318,Bairnsdale Regional Health Service,False,-37.830814,147.607905,Bairnsdale Regional Health Service,Gippsland,Bairnsdale Regional Health Service,brhs.com.au,rural_public,exact_lhn,True
H0319,West Gippsland Healthcare Group [Warragul],False,-38.173009,145.926804,West Gippsland Healthcare Group,Gippsland,West Gippsland Healthcare Group,wghg.com.au,rural_public,exact_lhn,True
H0320,Bass Coast Health,False,-38.608747,145.580906,Bass Coast Regional Health,Gippsland,,basscoasthealth.com.au,unknown,public_override:bass coast health,True
H0321,Yarram & District Health Service,False,-38.556975,146.678316,Yarram and District Health Service,Gippsland,Yarram and District Health Service,ydhs.com.au,rural_public,exact_lhn,True
H0322,Omeo District Health,False,-37.098142,147.597321,Omeo District Health,Gippsland,Omeo District Health,odh.net.au,rural_public,exact_lhn,False
H0323,Central Gippsland Health Service [Sale],False,-38.108408,147.080637,Central Gippsland Health Service,Gippsland,Central Gippsland Health Service,cghs.com.au,rural_public,exact_lhn,True
H0324,Gippsland Southern Health Service - Korumburra,False,-38.430328,145.828249,Gippsland Southern Health Service,Gippsland,,gshs.com.au,unknown,public_override:gippsland southern,True
H0325,Gippsland Southern Health Service - Leongatha,False,-38.487171,145.950343,Gippsland Southern Health Service,Gippsland,,gshs.com.au,unknown,public_override:gippsland southern,True
H0326,Latrobe Regional Hospital [Traralgon],False,-38.218475,146.471335,Latrobe Regional Hospital,Gippsland,Latrobe Regional Hospital,lrh.com.au,rural_public,exact_lhn,True
H0327,Central Gippsland Health Service [Maffra],False,-37.961032,146.983487,Central Gippsland Health Service,Gippsland,Central Gippsland Health Service,cghs.com.au,rural_public,exact_lhn,True
H0328,South Gippsland Hospital [Foster],False,-38.658319,146.207031,South Gippsland Hospital (Foster),Gippsland,South Gippsland Hospital,southgippslandhospital.com.au,rural_public,exact_lhn,True
H0329,Orbost Regional Health,False,-37.701844,148.464957,Orbost Regional Health,Gippsland,Orbost Regional Health,orbostregionalhealth.com.au,rural_public,exact_lhn,False
H0330,Box Hill Hospital,False,-37.813682,145.119094,Eastern Health (Vic),Eastern Melbourne,Eastern Health,easternhealth.org.au,metro_public,exact_lhn,True
H0331,Monash Medical Centre [Clayton],False,-37.9275697,145.1587291,Monash Health,Eastern Melbourne,Monash Health,monashhealth.org,tertiary,exact_lhn,True
H0332,Maroondah Hospital [East Ringwood],False,-37.806884,145.254535,Eastern Health (Vic),Eastern Melbourne,Eastern Health,easternhealth.org.au,metro_public,exact_lhn,True
H0333,Angliss Hospital,False,-37.898663,145.314166,Eastern Health (Vic),Eastern Melbourne,Eastern Health,easternhealth.org.au,metro_public,exact_lhn,True
H0334,St George's Health Service- Aged Care,False,-37.809085,145.052585,St Vincent's Hospital (Melbourne) Limited,Eastern Melbourne,St Vincent's Health,svhm.org.au,metro_public,manual_override,True
H0335,Caritas Christi Hospice [Kew],False,-37.804706,145.015557,St Vincent's Hospital (Melbourne) Limited,Eastern Melbourne,St Vincent's Health,svhm.org.au,metro_public,manual_override,True
H0336,Mercy Health - O'Connell Family Centre,False,-37.816688,145.061729,Mercy Public Hospital Inc. (Vic),Eastern Melbourne,Mercy Public Hospitals Inc.,mercy.com.au,metro_public,manual_override,True
H0337,The Peter James Centre [East Burwood],False,-37.852712,145.164542,Eastern Health (Vic),Eastern Melbourne,Eastern Health,easternhealth.org.au,metro_public,exact_lhn,True
H0338,Wantirna Health,False,-37.848525,145.225902,Eastern Health (Vic),Eastern Melbourne,Eastern Health,easternhealth.org.au,metro_public,exact_lhn,True
H0339,Royal Talbot Rehabilitation Centre [Kew],False,-37.789522,145.023715,Austin Health (Vic),Eastern Melbourne,Austin Health,austin.org.au,metro_public,exact_lhn,True
H0340,Healesville Hospital and Yarra Valley Health,False,-37.646879,145.529032,Eastern Health (Vic),Eastern Melbourne,Eastern Health,easternhealth.org.au,metro_public,exact_lhn,True
H0341,Yarra Ranges Health,False,-37.756319,145.351204,Eastern Health (Vic),Eastern Melbourne,Eastern Health,easternhealth.org.au,metro_public,exact_lhn,True
H0342,Monash Medical Centre [Moorabbin],False,-37.920697,145.063197,Monash Health,South Eastern Melbourne,Monash Health,monashhealth.org,tertiary,exact_lhn,True
H0343,Rosebud Hospital,False,-38.362168,144.884899,Peninsula Health (Vic),South Eastern Melbourne,Bayside Health - Peninsula Care Group,peninsulahealth.org.au,metro_public,manual_override,True
H0344,Sandringham Hospital,False,-37.961049,145.018157,Alfred Health (Vic),South Eastern Melbourne,Bayside Health - Alfred Care Group,alfredhealth.org.au,metro_public,manual_override,True
H0345,Caulfield Hospital,False,-37.882707,145.016892,Alfred Health (Vic),South Eastern Melbourne,Bayside Health - Alfred Care Group,alfredhealth.org.au,metro_public,manual_override,True
H0346,Kooweerup Regional Health Service,False,-38.200653,145.484433,Kooweerup Regional Health Service,South Eastern Melbourne,,kooweeruphealth.com.au,unknown,public_override:kooweerup regional,False
H0347,Kingston Centre [Cheltenham],False,-37.955018,145.078969,Monash Health,South Eastern Melbourne,Monash Health,monashhealth.org,metro_public,exact_lhn,True
H0348,Dandenong Hospital,False,-37.976459,145.218529,Monash Health,South Eastern Melbourne,Monash Health,monashhealth.org,metro_public,exact_lhn,True
H0349,Cranbourne Integrated Care Centre,False,-38.113312,145.280832,Monash Health,South Eastern Melbourne,Monash Health,monashhealth.org,metro_public,exact_lhn,True
H0350,Frankston Hospital,False,-38.150791,145.128428,Peninsula Health (Vic),South Eastern Melbourne,Bayside Health - Peninsula Care Group,peninsulahealth.org.au,metro_public,manual_override,True
H0351,Calvary Health Care Bethlehem,False,-37.896962,145.013415,Calvary Health Care Bethlehem Limited,South Eastern Melbourne,,calvarycare.org.au,unknown,public_override:calvary health care bethlehem,True
H0352,Queen Elizabeth Centre [Noble Park],False,-37.972053,145.178285,Victoria Virtual Local Hospital Network,South Eastern Melbourne,,qec.org.au,unknown,public_override:queen elizabeth centre,True
H0353,Casey Hospital,False,-38.045325,145.347181,Monash Health,South Eastern Melbourne,Monash Health,monashhealth.org,metro_public,exact_lhn,True
H0356,Golf Links Road Rehabilitation Centre,False,-38.173447,145.149769,Peninsula Health (Vic),South Eastern Melbourne,Bayside Health - Peninsula Care Group,peninsulahealth.org.au,metro_public,manual_override,True
H0357,The Mornington Centre,False,-38.230174,145.041697,Peninsula Health (Vic),South Eastern Melbourne,Bayside Health - Peninsula Care Group,peninsulahealth.org.au,metro_public,manual_override,True
H0358,The Alfred,False,-37.846087,144.981937,Alfred Health (Vic),North Western Melbourne,Bayside Health - Alfred Care Group,alfredhealth.org.au,tertiary,manual_override,True
H0359,Austin Hospital [Heidelberg],False,-37.756355,145.060236,Austin Health (Vic),Eastern Melbourne,Austin Health,austin.org.au,tertiary,exact_lhn,True
H0360,Heidelberg Repatriation Hospital [Heidelberg West],False,-37.755973,145.04749,Austin Health (Vic),Eastern Melbourne,Austin Health,austin.org.au,metro_public,exact_lhn,True
H0361,Bundoora Extended Care Centre,False,-37.701124,145.055569,Northern Health (Vic),North Western Melbourne,Northern Health,nh.org.au,metro_public,exact_lhn,True
H0362,Mercy Hospital for Women,False,-37.756075,145.061008,Mercy Public Hospital Inc. (Vic),Eastern Melbourne,Mercy Public Hospitals Inc.,mercy.com.au,metro_public,manual_override,True
H0363,Western Hospital [Footscray],False,-37.792298,144.887191,Western Health (Vic),North Western Melbourne,Western Health,westernhealth.org.au,metro_public,exact_lhn,True
H0364,Royal Children's Hospital [Parkville],False,-37.794997,144.950859,Royal Children's Hospital (Melbourne),North Western Melbourne,The Royal Children's Hospital,rch.org.au,tertiary,manual_override,True
H0366,Royal Women's Hospital [Parkville],False,-37.798772,144.954825,Royal Women's Hospital (Melbourne),North Western Melbourne,The Royal Women's Hospital,thewomens.org.au,tertiary,manual_override,True
H0367,The Royal Victorian Eye & Ear Hospital,False,-37.808978,144.976245,Royal Victorian Eye and Ear Hospital,North Western Melbourne,The Royal Victorian Eye and Ear Hospital,eyeandear.org.au,metro_public,manual_override,True
H0368,The Northern Hospital [Epping],False,-37.653417,145.014381,Northern Health (Vic),Eastern Melbourne,Northern Health,nh.org.au,metro_public,exact_lhn,True
H0369,Werribee Mercy Hospital,False,-37.886587,144.698621,Mercy Public Hospital Inc. (Vic),North Western Melbourne,Mercy Public Hospitals Inc.,mercy.com.au,metro_public,manual_override,True
H0370,Orygen Inpatient Unit,False,-37.791926,144.886617,Melbourne Health,North Western Melbourne,Melbourne Health,thermh.org.au,metro_public,manual_override,True
H0371,Royal Melbourne Hospital [City Campus],False,-37.799259,144.956864,Melbourne Health,North Western Melbourne,Melbourne Health,thermh.org.au,tertiary,manual_override,True
H0372,Royal Melbourne Hospital [Royal Park Campus],False,-37.778813,144.948049,Melbourne Health,North Western Melbourne,Melbourne Health,thermh.org.au,tertiary,manual_override,True
H0373,Sunshine Hospital,False,-37.759179,144.816477,Western Health (Vic),North Western Melbourne,Western Health,westernhealth.org.au,metro_public,exact_lhn,True
H0374,St Vincent's Hospital [Melbourne],False,-37.806545,144.975231,St Vincent's Hospital (Melbourne) Limited,North Western Melbourne,St Vincent's Health,svhm.org.au,tertiary,manual_override,True
H0375,Williamstown Hospital,False,-37.863576,144.892339,Western Health (Vic),North Western Melbourne,Western Health,westernhealth.org.au,metro_public,exact_lhn,True
H0376,Peter MacCallum Cancer Centre,False,-37.80001,144.956607,Peter MacCallum Cancer Institute (Vic),North Western Melbourne,Peter Mac Callum Cancer Centre,petermac.org,tertiary,fuzzy_hospital_98,True
H0377,Tweddle Child & Family Health Centre [Footscray],False,-37.797407,144.887421,Tweddle Child and Family Health Service,North Western Melbourne,Tweddle Child and Family Health Service,tweddle.org.au,metro_public,exact_lhn,True
H0378,Sunbury Day Hospital,False,-37.576998,144.732674,Western Health (Vic),North Western Melbourne,Western Health,westernhealth.org.au,metro_public,exact_lhn,True
H0379,Broadmeadows Health Service,False,-37.684321,144.913106,Northern Health (Vic),North Western Melbourne,Northern Health,nh.org.au,metro_public,exact_lhn,True
H0380,Craigieburn Health Service,False,-37.596015,144.91928,Northern Health (Vic),North Western Melbourne,Northern Health,nh.org.au,metro_public,exact_lhn,True
H0381,The Royal Dental Hospital of Melbourne,False,-37.799299,144.964529,Unknown,North Western Melbourne,,dhsv.org.au,unknown,public_override:royal dental hospital,True
H0383,Victorian Institute of Forensic Mental Health,False,-37.78931,145.012975,Victorian Institute of Forensic Mental Health,North Western Melbourne,,forensicare.vic.gov.au,unknown,public_override:victorian institute of forensic,True
H0384,Victorian Institute of Forensic Mental Health Prison Health Service,False,-37.812763,144.950757,Victorian Institute of Forensic Mental Health,North Western Melbourne,,forensicare.vic.gov.au,unknown,public_override:victorian institute of forensic,True
H0749,Women's at Sandringham,False,-37.961049,145.018157,Royal Women's Hospital (Melbourne),South Eastern Melbourne,The Royal Women's Hospital,thewomens.org.au,metro_public,manual_override,True
H1009,Dame Phyllis Frost Centre - Marmak unit,False,-37.781307,144.742309,Unknown,North Western Melbourne,,correctionshealth.vic.gov.au,unknown,public_override:dame phyllis frost,False
H1046,Mallee Track Health & Community Service [Sea Lake],False,-35.500395,142.858003,Mallee Track Health and Community Service,Murray,Mallee Track Health and Community Service,mthcs.com.au,rural_public,exact_lhn,True
H1047,Ursula Frayne Centre,False,-37.791148,144.886747,Mercy Public Hospital Inc. (Vic),North Western Melbourne,Mercy Public Hospitals Inc.,mercy.com.au,metro_public,manual_override,True
H1049,St Vincent's On the Park,False,-37.81115,144.97784,St Vincent's Hospital (Melbourne) Limited,North Western Melbourne,St Vincent's Health,svhm.org.au,tertiary,manual_override,True
H1054,Victorian Heart Hospital,False,-37.91254,145.13984,Monash Health,Eastern Melbourne,Monash Health,monashhealth.org,metro_public,exact_lhn,True
H1055,Blackburn Public Surgical Centre,False,-37.83332,145.15611,Eastern Health (Vic),Eastern Melbourne,Eastern Health,easternhealth.org.au,metro_public,exact_lhn,True
H1056,Frankston Public Surgical Centre,False,-38.1544,145.13313,Peninsula Health (Vic),South Eastern Melbourne,Bayside Health - Peninsula Care Group,peninsulahealth.org.au,metro_public,manual_override,True
H1057,Sandringham Monash,False,-37.961049,145.018157,Monash Health,South Eastern Melbourne,Monash Health,monashhealth.org,metro_public,exact_lhn,True
H1060,Casey Early Parenting Centre,False,-38.09400971455602,145.34344614603108,Monash Health,South Eastern Melbourne,Monash Health,monashhealth.org,metro_public,exact_lhn,True
H1061,Wyndham Early Parenting Centre,False,-37.887658114488794,144.6923555976354,Not stated/inadequately described,North Western Melbourne,,tweddle.org.au,unknown,public_override:wyndham early parenting,True
H1062,Whittlesea Early Parenting Centre,False,-37.64895327721592,145.07769055344102,Mercy Public Hospital Inc. (Vic),Eastern Melbourne,Mercy Public Hospitals Inc.,mercy.com.au,metro_public,manual_override,True
H1065,Barwon Health North,False,,,Barwon Health,Western Victoria,Barwon Health,barwonhealth.org.au,rural_public,exact_lhn,True
H1066,Wayipunga Early Parenting Centre,False,-36.765508992623616,144.29099262505918,Bendigo Health Care Group,Murray,Bendigo Health Care Group,bendigohealth.org.au,rural_public,exact_lhn,True
