reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0685,Southern Cross Hospital,False,False,-31.230709,119.337829,LHN503,WA Country Health Service,PHN503,Country WA
H0686,Wongan Hills Hospital,False,False,-30.894159,116.724843,LHN503,WA Country Health Service,PHN503,Country WA
H0687,Wyalkatchem-Koorda and Districts Hospital,False,False,-31.176246,117.386212,LHN503,WA Country Health Service,PHN503,Country WA
H0688,Quairading Hospital,False,False,-32.014481,117.402627,LHN503,WA Country Health Service,PHN503,Country WA
H0689,Esperance Hospital,False,False,-33.856188,121.892205,LHN503,WA Country Health Service,PHN503,Country WA
H0690,Kalgoorlie Health Campus,False,False,-30.740839,121.470122,LHN503,WA Country Health Service,PHN503,Country WA
H0691,Laverton Hospital,False,False,-28.626817,122.399861,LHN503,WA Country Health Service,PHN503,Country WA
H0692,Leonora Hospital,False,False,-28.894319,121.337492,LHN503,WA Country Health Service,PHN503,Country WA
H0693,Norseman Hospital,False,False,-32.198566,121.767663,LHN503,WA Country Health Service,PHN503,Country WA
H0694,Albany Hospital,False,False,-35.003407,117.904468,LHN503,WA Country Health Service,PHN503,Country WA
H0695,Denmark Hospital and Health Service,False,False,-34.955911730999226,117.3578578079285,LHN503,WA Country Health Service,PHN503,Country WA
H0696,Katanning Hospital,False,False,-33.683032,117.563409,LHN503,WA Country Health Service,PHN503,Country WA
H0697,Gnowangerup Hospital,False,False,-33.930469,118.002927,LHN503,WA Country Health Service,PHN503,Country WA
H0698,Plantagenet Hospital,False,False,-34.626092,117.654561,LHN503,WA Country Health Service,PHN503,Country WA
H0699,Ravensthorpe Health Centre,False,False,-33.584918,120.045461,LHN503,WA Country Health Service,PHN503,Country WA
H0700,Kojonup Hospital,False,False,-33.829481,117.152903,LHN503,WA Country Health Service,PHN503,Country WA
H0701,Augusta Hospital,False,False,-34.305814,115.157983,LHN503,WA Country Health Service,PHN503,Country WA
H0702,Bunbury Hospital,False,False,-33.366986,115.648183,LHN503,WA Country Health Service,PHN503,Country WA
H0703,Busselton Health Campus,False,False,-33.654351,115.319581,LHN503,WA Country Health Service,PHN503,Country WA
H0704,Collie Hospital,False,False,-33.351403,116.162223,LHN503,WA Country Health Service,PHN503,Country WA
H0705,Margaret River Hospital,False,False,-33.952162,115.071229,LHN503,WA Country Health Service,PHN503,Country WA
H0706,Donnybrook Hospital,False,False,-33.576942,115.816547,LHN503,WA Country Health Service,PHN503,Country WA
H0707,Harvey Hospital,False,False,-33.077554,115.896749,LHN503,WA Country Health Service,PHN503,Country WA
H0708,Nannup Hospital,False,False,-33.982797,115.76723,LHN503,WA Country Health Service,PHN503,Country WA
H0709,Pemberton Hospital,False,False,-34.444875,116.031954,LHN503,WA Country Health Service,PHN503,Country WA
H0710,Boyup Brook Soldiers Memorial Hospital,False,False,-33.839231,116.390639,LHN503,WA Country Health Service,PHN503,Country WA
H0711,Warren Hospital,False,False,-34.240969,116.154112,LHN503,WA Country Health Service,PHN503,Country WA
H0712,Bridgetown Hospital,False,False,-33.951681,116.132183,LHN503,WA Country Health Service,PHN503,Country WA
H0713,Graylands Selby-Lemnos and Special Care Health Service,False,False,-31.961447,115.790855,LHN501,North Metropolitan Health Service (WA),PHN501,Perth North
H0746,Fiona Stanley Hospital,False,False,-32.07012,115.846909,LHN502,South Metropolitan Health Service (WA),PHN502,Perth South
H0747,St John of God Midland Public Hospital,False,False,-31.8948318,116.008852,LHN504,East Metropolitan Health Service (WA),PHN501,Perth North
H0751,Perth Children's Hospital,False,False,-31.969503,115.817165,LHN580,Child Adolescent Health Service (WA),PHN501,Perth North
H0752,Karratha Health Campus,False,False,-20.732208,116.839511,LHN503,WA Country Health Service,PHN503,Country WA
H1063,St James Transitional Care Unit,False,False,-31.99598590315838,115.91010368689118,LHN504,East Metropolitan Health Service (WA),PHN502,Perth South
H5011,Attadale Rehabilitation Hospital,True,False,-32.029729,115.810669,,,,
H5021,Bethesda Hospital,True,False,-31.986967,115.778484,,,,
H5055,Colin Street Day Hospital,True,False,-31.949358,115.841569,,,,
H5085,Glengarry Private Hospital,True,False,-31.834253,115.784826,,,,
H5094,Hollywood Private Hospital,True,False,-31.969693,115.809148,,,,
H5103,Joondalup Health Campus (Private),True,False,-31.738788,115.77034,,,,
H5131,St John of God Mt Lawley Hospital,True,False,-31.936721,115.884926,,,,
H5142,Mount Hospital,True,False,-31.958534,115.845401,,,,
H5162,Oxford Day Surgery and Dermatology,True,False,-31.922727,115.841536,,,,
H5169,Perth Clinic,True,False,-31.950874,115.843266,,,,
H5195,St John of God Bunbury Hospital,True,False,-33.365947,115.648869,,,,
H5198,St John of God Geraldton Hospital,True,False,-28.784383,114.616439,,,,
H5199,St John of God Murdoch Hospital,True,False,-32.067919,115.844659,,,,
H5201,St John of God Subiaco Hospital,True,False,-31.941246,115.826282,,,,
H5214,Subiaco Private Hospital,True,False,-31.9434,115.826,,,,
H5247,Waikiki Private Hospital,True,False,-32.310552,115.763147,,,,
H5258,Westminster Day Surgery,True,False,-31.862769,115.829163,,,,
H5290,Walcott Street Surgical Centre,True,False,-31.936554,115.874141,,,,
H5293,South Perth Hospital,True,False,-31.988465,115.862816,,,,
H5334,St John of God Midland Private Hospital,True,False,-31.8946106,116.0074802,,,,
H5365,Albany Community Hospice,True,False,-35.00322,117.904381,,,,
H5366,Albany Day Hospital,True,False,-35.016312,117.89196,,,,
H5375,Cambridge Day Surgery,True,False,-31.940639,115.824883,,,,
H5378,Churchill Day Surgery,True,False,-31.94771,115.831169,,,,
H5381,Craigie Day Surgery,True,False,-31.78446,115.765938,,,,
H5395,Icon Cancer Centre Midland,True,False,-31.89424,116.00531,,,,
H5398,Icon Cancer Centre Rockingham,True,False,-32.28745,115.74693,,,,
H5404,Kings Park Day Hospital,True,False,-31.950455,115.836075,,,,
H5411,McCourt Street Day Surgery,True,False,-31.94138,115.827957,,,,
H5415,Murdoch Surgicentre,True,False,-32.067791,115.844986,,,,
H5427,Perth Day Surgery Centre,True,False,-31.940439,115.82608,,,,
H5428,Perth Dermatology Clinic,True,False,-31.944691,115.863998,,,,
H5429,Perth Eye Hospital,True,False,-31.949883,115.83976,,,,
H5431,Rockingham Dialysis Clinic,True,False,-32.283241,115.746452,,,,
H5440,Stirling Dialysis Clinic,True,False,-31.88913,115.808022,,,,
H5446,The Park Private Hospital,True,False,-31.93434,115.874382,,,,
H5451,West Leederville Private Hospital,True,False,-31.94294,115.82798,,,,
H5458,Bunbury Day Hospital,True,False,-33.340477,115.639557,,,,
H5459,Cannington Dialysis Clinic,True,False,-32.016842,115.934967,,,,
H5474,Lions Eye Institute Day Surgery Centre,True,False,-31.96793,115.814934,,,,
H5477,Midland Dialysis Clinic,True,False,-31.88781,116.00413,,,,
H5478,Western Haematology and Oncology Clinics,True,False,-31.94462,115.84181,,,,
H5481,Southbank Day Surgery,True,False,-31.975916,115.871857,,,,
H5482,Spearwood Dialysis Clinic,True,False,-32.09556,115.78343,,,,
H5491,St John of God Subiaco Eye Hospital,True,False,-31.94045,115.82416,,,,
H5492,West Coast Endoscopy Centre,True,False,-31.73946,115.76764,,,,
H5495,Genesis Cancer Care Fiona Stanley,True,False,-31.941799,115.822639,,,,
H5496,GI Clinic Perth,True,False,-32.04477,115.81263,,,,
H5502,Genesis Cancer Care Shenton House Joondalup,True,False,-31.74084,115.77066,,,,
H5504,Marian Centre,True,False,-31.9405,115.82337,,,,
H5509,Abbotsford Private Hospital,True,False,-31.94091,115.83768,,,,
