reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0431,Jandowae Hospital,False,-26.781016,151.105313,Darling Downs,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:darling downs,True
H0432,Miles Hospital,False,-26.658236,150.191023,Darling Downs,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:darling downs,True
H0433,Millmerran Hospital,False,-27.878928,151.26267,Darling Downs,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:darling downs,True
H0434,Oakey Hospital,False,-27.424079,151.719088,Darling Downs,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:darling downs,True
H0435,Stanthorpe Hospital,False,-28.660927,151.928397,Darling Downs,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:darling downs,True
H0436,Tara Hospital,False,-27.273674,150.456368,Darling Downs,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:darling downs,True
H0437,Taroom Hospital,False,-25.638818,149.798669,Darling Downs,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:darling downs,True
H0438,Texas Hospital,False,-28.855978,151.179481,Darling Downs,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:darling downs,True
H0439,Toowoomba Hospital,False,-27.569872,151.944433,Darling Downs,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:darling downs,True
H0440,Warwick Hospital,False,-28.224275,152.017983,Darling Downs,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:darling downs,True
H0441,Augathella Hospital,False,-25.796104,146.590919,South West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:south west (qld),True
H0442,Charleville Hospital,False,-26.410455,146.239228,South West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:south west (qld),True
H0443,Cunnamulla Hospital,False,-28.071658,145.690405,South West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:south west (qld),True
H0444,Dirranbandi Hospital,False,-28.579349,148.229159,South West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:south west (qld),True
H0445,Injune Hospital,False,-25.847096,148.562471,South West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:south west (qld),True
H0446,Mitchell Hospital,False,-26.489913,147.972493,South West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:south west (qld),True
H0447,Mungindi Hospital,False,-28.972817,148.989061,South West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:south west (qld),True
H0448,Quilpie Hospital,False,-26.616519,144.274617,South West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:south west (qld),True
H0449,Roma Hospital,False,-26.568828,148.775846,South West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:south west (qld),True
H0450,St George Hospital Qld,False,-28.0272,148.5926833,South West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:south west (qld),True
H0451,Surat Hospital,False,-27.156595,149.063787,South West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:south west (qld),True
H0452,Alpha Hospital,False,-23.649039,146.632962,Central West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:central west (qld),True
H0453,Baralaba Hospital,False,-24.184268,149.809586,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
H0454,Biloela Hospital,False,-24.395813,150.517491,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
H0455,Blackwater Hospital,False,-23.571873,148.878219,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
