reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0284,Echuca Regional Health,False,False,-36.138186,144.748369,LHN214,Echuca Regional Health,PHN205,Murray
H0285,Kerang District Health,False,False,-35.724287,143.916563,LHN215,Kerang District Health,PHN205,Murray
H0286,Mildura Base Hospital,False,False,-34.185634,142.143348,LHN279,Mildura Base Hospital,PHN205,Murray
H0287,Mallee Track Health & Community Service [Ouyen],False,False,-35.074349,142.312345,LHN280,Mallee Track Health and Community Service,PHN205,Murray
H0288,Maldon Hospital,False,False,-36.992672,144.063677,LHN295,Dhelkaya Health,PHN205,Murray
H0289,Manangatang & District Hospital,False,False,-35.050955,142.880512,LHN281,Robinvale District Health Services,PHN205,Murray
H0290,Boort District Health,False,False,-36.111703,143.727285,LHN218,Boort District Health,PHN205,Murray
H0291,Robinvale District Health Services,False,False,-34.584146,142.781367,LHN281,Robinvale District Health Services,PHN205,Murray
H0292,Rochester & Elmore District Health Service,False,False,-36.366579,144.697751,LHN219,Rochester and Elmore District Health Service,PHN205,Murray
H0293,East Wimmera Health Service [Donald],False,False,-36.366895,142.976583,LHN205,East Wimmera Health Service,PHN205,Murray
H0294,Inglewood & District Health Service,False,False,-36.572147,143.873755,LHN220,Inglewood and District Health Service,PHN205,Murray
H0295,East Wimmera Health Service [Birchip],False,False,-35.980167,142.915891,LHN205,East Wimmera Health Service,PHN205,Murray
H0296,East Wimmera Health Service [Charlton],False,False,-36.271037,143.345889,LHN205,East Wimmera Health Service,PHN205,Murray
H0297,Castlemaine Health,False,False,-37.052539,144.212315,LHN295,Dhelkaya Health,PHN205,Murray
H0298,Goulburn Valley Health [Shepparton],False,False,-36.363625,145.404911,LHN235,Goulburn Valley Health,PHN205,Murray
H0299,Goulburn Valley Health [Tatura],False,False,-36.439082,145.225535,LHN235,Goulburn Valley Health,PHN205,Murray
H0300,Northeast Health Wangaratta,False,False,-36.354035,146.313889,LHN243,Northeast Health Wangaratta,PHN205,Murray
H0301,Tallangatta Health Service,False,False,-36.213705,147.183709,LHN248,Tallangatta Health Service,PHN205,Murray
H0302,Albury Wodonga Health [Wodonga Campus],False,False,-36.131791,146.879417,LHN249,Albury Wodonga Health,PHN205,Murray
H0303,Yarrawonga Health,False,False,-36.011547,146.006584,LHN244,Yarrawonga District Health Service,PHN205,Murray
H0304,Alpine Health [Myrtleford],False,False,-36.554525,146.728795,LHN245,Alpine Health (Vic),PHN205,Murray
H0305,Alpine Health [Bright],False,False,-36.732701,146.965924,LHN245,Alpine Health (Vic),PHN205,Murray
H0306,Alpine Health [Mount Beauty],False,False,-36.743354,147.169359,LHN245,Alpine Health (Vic),PHN205,Murray
H0307,Corryong Health,False,False,-36.198711,147.902798,LHN250,Upper Murray Health and Community Services (Corryong),PHN205,Murray
H0308,Seymour District Memorial Hospital,False,False,-37.018384,145.138771,LHN240,Seymour District Memorial Hospital,PHN205,Murray
H0309,Mansfield District Hospital,False,False,-37.057574,146.086149,LHN246,Mansfield District Hospital,PHN205,Murray
H0310,Alexandra District Hospital,False,False,-37.195065,145.716143,LHN233,Alexandra District Hospital,PHN205,Murray
H0311,Numurkah & District Health Service,False,False,-36.100001,145.443695,LHN291,NCN Health,PHN205,Murray
H0312,The Kilmore & District Hospital,False,False,-37.301794,144.957915,LHN226,Northern Health (Vic),PHN205,Murray
H0313,Yea & District Memorial Hospital,False,False,-37.213634,145.430724,LHN242,Yea and District Memorial Hospital,PHN205,Murray
H0314,Nathalia District Hospital,False,False,-36.054754,145.204324,LHN291,NCN Health,PHN205,Murray
H0315,Benalla & District Memorial Hospital,False,False,-36.555239,145.994675,LHN247,Benalla and District Memorial Hospital,PHN205,Murray
H0316,Beechworth Health Service,False,False,-36.349359,146.690739,LHN251,Beechworth Health Service,PHN205,Murray
H0317,Cobram District Health,False,False,-35.916273,145.651029,LHN291,NCN Health,PHN205,Murray
H0318,Bairnsdale Regional Health Service,False,False,-37.830814,147.607905,LHN256,Bairnsdale Regional Health Service,PHN204,Gippsland
H0319,West Gippsland Healthcare Group [Warragul],False,False,-38.173009,145.926804,LHN252,West Gippsland Healthcare Group,PHN204,Gippsland
H0320,Bass Coast Health,False,False,-38.608747,145.580906,LHN253,Bass Coast Regional Health,PHN204,Gippsland
H0321,Yarram & District Health Service,False,False,-38.556975,146.678316,LHN257,Yarram and District Health Service,PHN204,Gippsland
H0322,Omeo District Health,False,False,-37.098142,147.597321,LHN258,Omeo District Health,PHN204,Gippsland
H0323,Central Gippsland Health Service [Sale],False,False,-38.108408,147.080637,LHN259,Central Gippsland Health Service,PHN204,Gippsland
H0324,Gippsland Southern Health Service - Korumburra,False,False,-38.430328,145.828249,LHN254,Gippsland Southern Health Service,PHN204,Gippsland
H0325,Gippsland Southern Health Service - Leongatha,False,False,-38.487171,145.950343,LHN254,Gippsland Southern Health Service,PHN204,Gippsland
H0326,Latrobe Regional Hospital [Traralgon],False,False,-38.218475,146.471335,LHN260,Latrobe Regional Hospital,PHN204,Gippsland
H0327,Central Gippsland Health Service [Maffra],False,False,-37.961032,146.983487,LHN259,Central Gippsland Health Service,PHN204,Gippsland
H0328,South Gippsland Hospital [Foster],False,False,-38.658319,146.207031,LHN255,South Gippsland Hospital (Foster),PHN204,Gippsland
H0329,Orbost Regional Health,False,False,-37.701844,148.464957,LHN261,Orbost Regional Health,PHN204,Gippsland
H0330,Box Hill Hospital,False,False,-37.813682,145.119094,LHN234,Eastern Health (Vic),PHN202,Eastern Melbourne
H0331,Monash Medical Centre [Clayton],False,False,-37.9275697,145.1587291,LHN269,Monash Health,PHN202,Eastern Melbourne
H0332,Maroondah Hospital [East Ringwood],False,False,-37.806884,145.254535,LHN234,Eastern Health (Vic),PHN202,Eastern Melbourne
H0333,Angliss Hospital,False,False,-37.898663,145.314166,LHN234,Eastern Health (Vic),PHN202,Eastern Melbourne
H0334,St George's Health Service- Aged Care,False,False,-37.809085,145.052585,LHN262,St Vincent's Hospital (Melbourne) Limited,PHN202,Eastern Melbourne
H0335,Caritas Christi Hospice [Kew],False,False,-37.804706,145.015557,LHN262,St Vincent's Hospital (Melbourne) Limited,PHN202,Eastern Melbourne
H0336,Mercy Health - O'Connell Family Centre,False,False,-37.816688,145.061729,LHN267,Mercy Public Hospital Inc. (Vic),PHN202,Eastern Melbourne
H0337,The Peter James Centre [East Burwood],False,False,-37.852712,145.164542,LHN234,Eastern Health (Vic),PHN202,Eastern Melbourne
H0338,Wantirna Health,False,False,-37.848525,145.225902,LHN234,Eastern Health (Vic),PHN202,Eastern Melbourne
H0339,Royal Talbot Rehabilitation Centre [Kew],False,False,-37.789522,145.023715,LHN266,Austin Health (Vic),PHN202,Eastern Melbourne
H0340,Healesville Hospital and Yarra Valley Health,False,False,-37.646879,145.529032,LHN234,Eastern Health (Vic),PHN202,Eastern Melbourne
H0341,Yarra Ranges Health,False,False,-37.756319,145.351204,LHN234,Eastern Health (Vic),PHN202,Eastern Melbourne
H0342,Monash Medical Centre [Moorabbin],False,False,-37.920697,145.063197,LHN269,Monash Health,PHN203,South Eastern Melbourne
H0343,Rosebud Hospital,False,False,-38.362168,144.884899,LHN270,Peninsula Health (Vic),PHN203,South Eastern Melbourne
H0344,Sandringham Hospital,False,False,-37.961049,145.018157,LHN268,Alfred Health (Vic),PHN203,South Eastern Melbourne
H0345,Caulfield Hospital,False,False,-37.882707,145.016892,LHN268,Alfred Health (Vic),PHN203,South Eastern Melbourne
H0346,Kooweerup Regional Health Service,False,False,-38.200653,145.484433,LHN271,Kooweerup Regional Health Service,PHN203,South Eastern Melbourne
H0347,Kingston Centre [Cheltenham],False,False,-37.955018,145.078969,LHN269,Monash Health,PHN203,South Eastern Melbourne
H0348,Dandenong Hospital,False,False,-37.976459,145.218529,LHN269,Monash Health,PHN203,South Eastern Melbourne
H0349,Cranbourne Integrated Care Centre,False,False,-38.113312,145.280832,LHN269,Monash Health,PHN203,South Eastern Melbourne
H0350,Frankston Hospital,False,False,-38.150791,145.128428,LHN270,Peninsula Health (Vic),PHN203,South Eastern Melbourne
H0351,Calvary Health Care Bethlehem,False,False,-37.896962,145.013415,LHN290,Calvary Health Care Bethlehem Limited,PHN203,South Eastern Melbourne
H0352,Queen Elizabeth Centre [Noble Park],False,False,-37.972053,145.178285,LHN299,Victoria Virtual Local Hospital Network,PHN203,South Eastern Melbourne
H0353,Casey Hospital,False,False,-38.045325,145.347181,LHN269,Monash Health,PHN203,South Eastern Melbourne
H0356,Golf Links Road Rehabilitation Centre,False,False,-38.173447,145.149769,LHN270,Peninsula Health (Vic),PHN203,South Eastern Melbourne
H0357,The Mornington Centre,False,False,-38.230174,145.041697,LHN270,Peninsula Health (Vic),PHN203,South Eastern Melbourne
H0358,The Alfred,False,False,-37.846087,144.981937,LHN268,Alfred Health (Vic),PHN201,North Western Melbourne
H0359,Austin Hospital [Heidelberg],False,False,-37.756355,145.060236,LHN266,Austin Health (Vic),PHN202,Eastern Melbourne
H0360,Heidelberg Repatriation Hospital [Heidelberg West],False,False,-37.755973,145.04749,LHN266,Austin Health (Vic),PHN202,Eastern Melbourne
H0361,Bundoora Extended Care Centre,False,False,-37.701124,145.055569,LHN226,Northern Health (Vic),PHN201,North Western Melbourne
H0362,Mercy Hospital for Women,False,False,-37.756075,145.061008,LHN267,Mercy Public Hospital Inc. (Vic),PHN202,Eastern Melbourne
H0363,Western Hospital [Footscray],False,False,-37.792298,144.887191,LHN209,Western Health (Vic),PHN201,North Western Melbourne
H0364,Royal Children's Hospital [Parkville],False,False,-37.794997,144.950859,LHN223,Royal Children's Hospital (Melbourne),PHN201,North Western Melbourne
H0366,Royal Women's Hospital [Parkville],False,False,-37.798772,144.954825,LHN224,Royal Women's Hospital (Melbourne),PHN201,North Western Melbourne
H0367,The Royal Victorian Eye & Ear Hospital,False,False,-37.808978,144.976245,LHN263,Royal Victorian Eye and Ear Hospital,PHN201,North Western Melbourne
H0368,The Northern Hospital [Epping],False,False,-37.653417,145.014381,LHN226,Northern Health (Vic),PHN202,Eastern Melbourne
