reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0065,Hornsby Ku-ring-gai Hospital,False,False,-33.701448,151.112941,LHN106,Northern Sydney,PHN102,Northern Sydney
H0067,Mona Vale Hospital,False,False,-33.685353,151.306618,LHN106,Northern Sydney,PHN102,Northern Sydney
H0068,Royal North Shore Hospital,False,False,-33.821312,151.189735,LHN106,Northern Sydney,PHN102,Northern Sydney
H0069,Royal Rehabilitation Hospital,False,False,-33.821772,151.107845,LHN106,Northern Sydney,PHN102,Northern Sydney
H0070,Ryde Hospital,False,False,-33.795482,151.089756,LHN106,Northern Sydney,PHN102,Northern Sydney
H0071,Gosford Hospital,False,False,-33.419451,151.340328,LHN107,Central Coast,PHN108,Hunter New England and Central Coast
H0072,Woy Woy Hospital,False,False,-33.496716,151.320952,LHN107,Central Coast,PHN108,Hunter New England and Central Coast
H0073,Long Jetty Health Care Centre,False,False,-33.369012,151.468538,LHN107,Central Coast,PHN108,Hunter New England and Central Coast
H0074,Wyong Hospital,False,False,-33.261113,151.480761,LHN107,Central Coast,PHN108,Hunter New England and Central Coast
H0075,Armidale Hospital,False,False,-30.512726,151.655629,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0076,Barraba Multi Purpose Service,False,False,-30.382482,150.605778,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0077,Bingara Multi Purpose Service,False,False,-29.864055,150.579235,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0078,Boggabri Multi Purpose Service,False,False,-30.711502,150.040014,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0079,Glen Innes Hospital,False,False,-29.733293,151.731673,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0080,Gunnedah Hospital,False,False,-30.983146,150.251339,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0081,Guyra Multi Purpose Service,False,False,-30.213889,151.679112,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0082,Inverell Hospital,False,False,-29.770728,151.130139,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0083,Manilla Hospital,False,False,-30.745717,150.732249,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0084,Moree Hospital,False,False,-29.470678,149.839648,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0085,Narrabri Hospital,False,False,-30.325869,149.777108,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0086,Tenterfield Hospital,False,False,-29.045083,152.013552,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0087,Quirindi Hospital,False,False,-31.500345,150.676621,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0088,Tamworth Hospital,False,False,-31.074079,150.924199,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0089,Tingha Multi Purpose Service,False,False,-29.950779,151.206732,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0090,Vegetable Creek Multi Purpose Service Emmaville,False,False,-29.450547,151.599204,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0091,Walcha Multi Purpose Service,False,False,-30.987818,151.591415,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0092,Warialda Multi Purpose Service,False,False,-29.538835,150.579567,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0093,Wee Waa Hospital,False,False,-30.225439,149.448287,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0094,Werris Creek Hospital,False,False,-31.346691,150.652513,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0095,Bulahdelah Hospital,False,False,-32.403949,152.210029,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0096,Gloucester Soldiers' Memorial Hospital,False,False,-32.014787,151.958556,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0097,Manning Hospital,False,False,-31.910418,152.454485,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0098,Wingham Hospital,False,False,-31.878104,152.365179,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0099,Cessnock Hospital,False,False,-32.827754,151.348396,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0100,Dungog Hospital,False,False,-32.401948,151.746157,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
