reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0577,McLaren Vale & Districts War Memorial Hospital Inc,False,-35.221405,138.544962,Southern Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:southern adelaide,True
H0578,Coober Pedy Hospital and Health Service,False,-29.004893,134.762066,Eyre and Far North,Country SA,,sahealth.sa.gov.au,unknown,lhn:eyre and far north,True
H0579,Hawker Memorial Hospital,False,-31.893389,138.427841,Flinders and Upper North,Country SA,,sahealth.sa.gov.au,unknown,lhn:flinders and upper north,True
H0583,Port Augusta Hospital and Regional Health Services,False,-32.509417,137.776279,Flinders and Upper North,Country SA,,sahealth.sa.gov.au,unknown,lhn:flinders and upper north,True
H0584,Quorn Health Service,False,-32.350917,138.038138,Flinders and Upper North,Country SA,,sahealth.sa.gov.au,unknown,lhn:flinders and upper north,True
H0585,Roxby Downs Health Service,False,-30.562778,136.894261,Flinders and Upper North,Country SA,,sahealth.sa.gov.au,unknown,lhn:flinders and upper north,True
H0587,Whyalla Hospital and Health Services,False,-33.033977,137.577559,Flinders and Upper North,Country SA,,sahealth.sa.gov.au,unknown,lhn:flinders and upper north,True
H0588,Barmera Health Service,False,-34.249146,140.471706,Riverland Mallee Coorong,Country SA,,sahealth.sa.gov.au,unknown,lhn:riverland mallee coorong,True
H0589,Riverland General Hospital,False,-34.276054,140.600984,Riverland Mallee Coorong,Country SA,,sahealth.sa.gov.au,unknown,lhn:riverland mallee coorong,True
H0590,Loxton Hospital Complex,False,-34.454695,140.564296,Riverland Mallee Coorong,Country SA,,sahealth.sa.gov.au,unknown,lhn:riverland mallee coorong,True
H0591,Renmark Paringa District Hospital,False,-34.164836,140.745205,Riverland Mallee Coorong,Country SA,,sahealth.sa.gov.au,unknown,lhn:riverland mallee coorong,True
H0592,Waikerie Health Service,False,-34.182447,139.984917,Riverland Mallee Coorong,Country SA,,sahealth.sa.gov.au,unknown,lhn:riverland mallee coorong,True
H0593,Bordertown Memorial Hospital,False,-36.312133,140.766438,Limestone Coast,Country SA,,sahealth.sa.gov.au,unknown,lhn:limestone coast,True
H0594,Kingston Soldiers' Memorial Hospital,False,-36.835501,139.848763,Limestone Coast,Country SA,,sahealth.sa.gov.au,unknown,lhn:limestone coast,True
H0595,Millicent and District Hospital and Health Service,False,-37.598354,140.358924,Limestone Coast,Country SA,,sahealth.sa.gov.au,unknown,lhn:limestone coast,True
